,Title,Date,Score
177,Werewolves Within (PS4),"Dec 6, 2016",7.3
178,Uno (2016) (PC),"Dec 4, 2016",tbd
179,Steep (PS4),"Dec 2, 2016",6.5
180,Steep (XONE),"Dec 2, 2016",6.5
181,The Crew: Calling All Units (PS4),"Nov 29, 2016",2.8
182,The Crew: Ultimate Edition (XONE),"Nov 29, 2016",5.8
183,The Crew: Calling All Units (XONE),"Nov 29, 2016",tbd
184,The Crew: Ultimate Edition (PC),"Nov 29, 2016",5.3
185,The Crew: Calling All Units (PC),"Nov 29, 2016",tbd
186,Watch Dogs 2 (PC),"Nov 28, 2016",7.1
187,The Crew: Ultimate Edition (PS4),"Nov 22, 2016",5.3
188,Tom Clancy's The Division - Survival (PS4),"Nov 22, 2016",6.6
189,Tom Clancy's The Division - Survival (PC),"Nov 22, 2016",7.0
190,Tom Clancy's The Division - Survival (XONE),"Nov 22, 2016",7.4
191,Steep (PC),"Nov 18, 2016",6.9
192,Watch Dogs 2 (PS4),"Nov 15, 2016",7.8
193,Watch Dogs 2 (XONE),"Nov 15, 2016",7.4
194,Assassin's Creed: The Ezio Collection (XONE),"Nov 15, 2016",7.2
195,Assassin's Creed: The Ezio Collection (PS4),"Nov 15, 2016",7.5
196,Hasbro Family Fun Pack: Conquest Edition (PS4),"Nov 15, 2016",tbd
197,Hasbro Family Fun Pack: Conquest Edition (XONE),"Nov 15, 2016",tbd
198,Eagle Flight (PS4),"Nov 8, 2016",7.1
199,Just Dance 2017 (PC),"Oct 27, 2016",8.6
200,Just Dance 2017 (XONE),"Oct 25, 2016",6.6
201,Just Dance 2017 (WIIU),"Oct 25, 2016",7.1
202,Just Dance 2017 (PS4),"Oct 25, 2016",6.7
203,Just Dance 2017 (PS3),"Oct 25, 2016",tbd
204,Just Dance 2017 (WII),"Oct 25, 2016",7.4
205,Just Dance 2017 (X360),"Oct 25, 2016",7.1
206,Trolls: Crazy Party Forest! (iOS),"Oct 19, 2016",tbd
207,Eagle Flight (PC),"Oct 18, 2016",6.9
208,Rocksmith 2014 Edition: Remastered (PC),"Oct 4, 2016",tbd
209,Rocksmith 2014 Edition: Remastered (PS4),"Oct 4, 2016",6.5
210,Rocksmith 2014 Edition: Remastered (XONE),"Oct 4, 2016",7.3
211,Face Up - The Selfie Game (iOS),"Sep 28, 2016",tbd
212,NCIS: Hidden Crimes (iOS),"Sep 15, 2016",tbd
213,Just Sing (PS4),"Sep 6, 2016",6.1
214,Just Sing (XONE),"Sep 6, 2016",tbd
215,Champions of Anteria (PC),"Aug 30, 2016",7.1
216,Grow Up (XONE),"Aug 16, 2016",7.3
217,Grow Up (PC),"Aug 16, 2016",7.4
218,Grow Up (PS4),"Aug 16, 2016",6.1
219,Uno (PS4),"Aug 16, 2016",6.3
220,Uno (XONE),"Aug 16, 2016",7.3
221,Battleship (PS4),"Aug 16, 2016",6.3
222,Might and Magic: Heroes VII - Trial by Fire (PC),"Aug 4, 2016",6.2
223,Battleship (XONE),"Aug 2, 2016",7.6
224,Risk: Urban Assault (XONE),"Aug 2, 2016",5.4
225,Risk: Urban Assault (PS4),"Aug 2, 2016",6.3
226,Risk: Urban Assault (PS3),"Aug 2, 2016",tbd
227,Risk: Urban Assault (X360),"Aug 2, 2016",tbd
228,Tom Clancy's The Division - Underground (PC),"Jun 28, 2016",6.1
229,Tom Clancy's The Division - Underground (PS4),"Jun 28, 2016",5.5
230,Tom Clancy's The Division - Underground (XONE),"Jun 28, 2016",7.5
231,South Park: The Stick of Truth (PS4),"Jun 23, 2016",7.6
232,Trials of the Blood Dragon (PS4),"Jun 13, 2016",6.2
233,Trials of the Blood Dragon (XONE),"Jun 13, 2016",5.9
234,Trials of the Blood Dragon (PC),"Jun 13, 2016",6.6
235,Hungry Shark World (iOS),"May 4, 2016",5.6
236,"Assassin's Creed Triple Pack: Black Flag, Unity, Syndicate (XONE)","Apr 26, 2016",8.1
237,Assassin's Creed Syndicate: The Dreadful Crimes (PC),"Apr 11, 2016",tbd
238,Assassin's Creed Chronicles (VITA),"Apr 5, 2016",7.0
239,Trackmania Turbo (PC),"Mar 24, 2016",7.0
240,Trackmania Turbo (PS4),"Mar 22, 2016",7.6
